niter;epoch;train_loss;test_loss;min_test_loss
4.0;1.0;0.4854736994912624;0.5397220253944397;0.5397220253944397
8.0;1.0;0.48556396850959915;0.5350056886672974;0.5350056886672974
12.0;1.0;0.4860608699676618;0.5303141474723816;0.5303141474723816
16.0;1.0;0.48816585570734616;0.5256475210189819;0.5256475210189819
20.0;1.0;0.48664734492363004;0.5210570693016052;0.5210570693016052
24.0;1.0;0.48458921130853994;0.5165165662765503;0.5165165662765503
28.0;1.0;0.4838938197470735;0.511984646320343;0.511984646320343
32.0;1.0;0.4831984425254387;0.5074416399002075;0.5074416399002075
36.0;1.0;0.48170469249324904;0.5028783082962036;0.5028783082962036
38.0;1.0;0.48171839408132877;0.5028783082962036;0.5028783082962036
40.0;1.0;0.4808672864048494;0.49829816818237305;0.49829816818237305
44.0;1.0;0.4783434685102215;0.49371907114982605;0.49371907114982605
48.0;1.0;0.4758982446741782;0.48913756012916565;0.48913756012916565
52.0;1.0;0.47353776850227636;0.48454803228378296;0.48454803228378296
56.0;1.0;0.4709546343295233;0.4799817204475403;0.4799817204475403
60.0;1.0;0.46730963873357084;0.4754493236541748;0.4754493236541748
64.0;1.0;0.46578052793331265;0.4709107279777527;0.4709107279777527
68.0;1.0;0.46344960940645086;0.466339647769928;0.466339647769928
72.0;1.0;0.4592528641718885;0.4617968201637268;0.4617968201637268
76.0;1.0;0.4562662792579822;0.4572264850139618;0.4572264850139618
76.0;1.0;0.4562662792579822;0.4572264850139618;0.4572264850139618
80.0;1.0;0.4533538000416446;0.45261842012405396;0.45261842012405396
84.0;1.0;0.44961947231607813;0.4479491412639618;0.4479491412639618
88.0;1.0;0.4463350692671612;0.44325029850006104;0.44325029850006104
92.0;1.0;0.4429612694929842;0.4384858012199402;0.4384858012199402
96.0;1.0;0.43894951227974055;0.43364787101745605;0.43364787101745605
100.0;1.0;0.4345756673665002;0.4286729693412781;0.4286729693412781
104.0;1.0;0.4320714331282924;0.4235690236091614;0.4235690236091614
108.0;1.0;0.42865676721876783;0.41833481192588806;0.41833481192588806
112.0;1.0;0.4253933069805051;0.41297683119773865;0.41297683119773865
116.0;1.0;0.42182591698984184;0.4075528383255005;0.4075528383255005
116.0;1.0;0.42182591698984184;0.4075528383255005;0.4075528383255005
120.0;1.0;0.41747741102915326;0.40207719802856445;0.40207719802856445
124.0;1.0;0.4131505708787599;0.39648813009262085;0.39648813009262085
128.0;1.0;0.40845573388058753;0.39076757431030273;0.39076757431030273
132.0;2.0;0.40488632435815475;0.38489827513694763;0.38489827513694763
136.0;2.0;0.4011152410752559;0.37880387902259827;0.37880387902259827
